status,file,brand_id,display_name,legal_name,cui,anaf_name,detail,source_url
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_altex_2026_06_19.json,altex_romania,Altex Romania S.R.L.,Altex Romania S.R.L.,13831166,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://altex.ro/regulament-dublul-diferentei-online/pag/
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_apa_canal_2000_pitesti_2026_06_19.json,apa_canal_2000_pitesti,SC Apa Canal 2000 S.A. Pitești,SC Apa Canal 2000 S.A.,2641670,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.primariapitesti.ro/apa-canal-2000-sa-noi-modalitai-de-plata-a-facturilor-articol710
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_asirom_supplement_2026_06_19.json,asirom,ASIROM Vienna Insurance Group S.A.,ASIROM Vienna Insurance Group S.A.,1875650,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://asirom.ro/modalitati-de-plata
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_compania_apa_arad_2026_06_19.json,compania_apa_arad,Compania de Apă Arad S.A.,Compania de Apă Arad S.A.,34607499,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://caarad.ro/despre/date-de-identificare/
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_compania_apa_somes_2026_06_19.json,compania_apa_somes,Compania de Apă Someș S.A.,Compania de Apă Someș S.A.,6733008,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.casomes.ro/wp-content/uploads/2022/10/Modalitati-de-plata.pdf
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_distrigaz_vest_2026_06_19.json,distrigaz_vest,Distrigaz Vest S.A.,Distrigaz Vest S.A.,14488173,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.distrigazvest.ro/informatii/modalitati-si-conditii-de-plata
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_government_admin_2026_06_19.json,anaf,Agenția Națională de Administrare Fiscală,Agenția Națională de Administrare Fiscală,0,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.anaf.ro/anaf/internet/ANAF/asistenta_contribuabili/plata_oblig_fiscale/coduri_iban
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_government_admin_2026_06_19.json,politia_romana,Poliția Română / Ministerul Afacerilor Interne,Ministerul Afacerilor Interne,0,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://legislatie.just.ro/Public/DetaliiDocument/304127
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_government_admin_2026_06_19.json,primaria_timisoara,Primăria Municipiului Timișoara,Municipiul Timișoara,14628033,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://dfmt.ro/
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_government_admin_2026_06_19.json,primaria_iasi,Primăria Municipiului Iași,Municipiul Iași,4544954,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.anaf.ro/anaf/internet/ANAF/asistenta_contribuabili/plata_oblig_fiscale/coduri_iban
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_hydrokov_covasna_2026_06_19.json,hydrokov_covasna,Hydrokov S.A. (AquaCovas),Hydrokov S.A.,21923370,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://hydrokov.ro/ro/informatii-utile/
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_supplemental_2026_06_15.json,aquatim,Aquatim S.A.,Aquatim S.A.,30414808989948389989483,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_termoenergetica_2026_06_19.json,termoenergetica_bucuresti,CMTEB Termoenergetica București,Compania Municipală Termoenergetica București S.A.,15081141,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",https://www.cmteb.ro/factura-energie-termica.php
CUI_NOT_FOUND_IN_ANAF,payment_destination_registry_ro_wave3_public_p0_2026_06_26.json,compania_apa_brasov,Compania Apa Brașov,Compania Apa Brașov S.A.,1090816,,"CUI not returned by ANAF (possibly invalid, radiat, or typo).",
INACTIVE_OR_RADIATED,payment_destination_registry_ro_imm_wave1_2026_06_15.json,ro_fluxit_dsp_studio,DSP Studio,FluxIT Software & Consulting S.R.L.,35099609,FLUXIT SOFTWARE & CONSULTING SRL-D,ANAF marks entity inactive/radiat. ANAF name: FLUXIT SOFTWARE & CONSULTING SRL-D,
INACTIVE_OR_RADIATED,payment_destination_registry_ro_wave4_research_wave2_2026_06_26.json,otelstructuri,OțelStructuri,SC Metaled Steel Materials S.R.L.,40050130,METALED STEEL MATERIALS S.R.L.,ANAF marks entity inactive/radiat. ANAF name: METALED STEEL MATERIALS S.R.L.,
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,bijuteria_briliant,Bijuteria Briliant,Bijuteria Briliant,29241635,ANCA SILVER GOLD SRL,Registry 'Bijuteria Briliant' vs ANAF 'ANCA SILVER GOLD SRL',https://www.bijuteriabriliant.ro/termeni-si-conditii/
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,g_energy_solutions,G Energy Solutions,G Energy Solutions S.R.L.,48797417,GES FURNIZARE S.R.L.,Registry 'G Energy Solutions S.R.L.' vs ANAF 'GES FURNIZARE S.R.L.',https://g-energysolutions.ro/wp-content/uploads/2025/07/Oferta-comerciala-furnizare-gaze-naturale-consumator-CASNIC.pdf
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,refillhouse,RefillHouse,RefillHouse,38742210,REFILL HOUSE COMPANY S.R.L.,Registry 'RefillHouse' vs ANAF 'REFILL HOUSE COMPANY S.R.L.',https://www.refillhouse.ro/contact.html
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,sanistore,SaniStore,SaniStore,34738429,BANYO DESIGN SHOP SRL,Registry 'SaniStore' vs ANAF 'BANYO DESIGN SHOP SRL',https://www.sanistore.ro/cum-platesc/
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,sellweb,SellWeb,SellWeb,34896844,BARSIGALEX SRL,Registry 'SellWeb' vs ANAF 'BARSIGALEX SRL',https://sellweb.ro/servicii/
NAME_MISMATCH,payment_destination_registry_ro_agent_batch_2026_06_26.json,sofamob,SofaMob,SOFAMOB SRL,30926845,SOFA MOB-STOFF SRL,Registry 'SOFAMOB SRL' vs ANAF 'SOFA MOB-STOFF SRL',https://sofamob.ro/termeni-si-conditii/
